Name,Class,Rating,Total Rater,Facility,Price,Area
Mercure Bandung City Centre,4-star hotel,4.5,"(5,683)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 949,500",Bandung
Grand Tjokro Premiere Bandung,4-star hotel,4.5,"(13,465)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 698,113",Bandung
Hotel Savoy Homann,4-star hotel,4.6,"(7,961)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 439,995",Bandung
éL Hotel Royale Bandung,4-star hotel,4.6,"(15,576)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 641,812",Bandung
Harris Hotel & Convention Ciumbuleuit Bandung,4-star hotel,4.5,"(6,355)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Pools', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 580,503",Bandung
Banana Inn Hotel Bandung,4-star hotel,4.3,"(2,753)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 446,342",Bandung
Harris Hotel & Conventions Festival Citylink Bandung,4-star hotel,4.5,"(5,085)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 356,315",Bandung
Grand Pasundan Convention Hotel,4-star hotel,4.4,"(6,714)","['Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 295,203",Bandung
Grand Tjokro Premiere Bandung,4-star hotel,4.5,"(13,467)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 527,879",Bandung
THE 1O1 Bandung Dago,4-star hotel,4.5,"(5,255)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 796,460",Bandung
Horison Ultima Hotel,4-star hotel,4.2,"(8,483)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 415,507",Bandung
de Braga by ARTOTEL,4-star hotel,4.6,"(2,155)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 607,562",Bandung
Mercure Bandung City Centre,4-star hotel,4.5,"(5,683)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 943,462",Bandung
West Point Hotel,4-star hotel,4.3,"(3,689)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 650,000",Bandung
Mercure Bandung Nexa Supratman,4-star hotel,4.5,"(5,317)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 976,883",Bandung
Courtyard by Marriott Bandung Dago,4-star hotel,4.6,"(4,182)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 2,422,914",Bandung
ASTON Pasteur,4-star hotel,4.5,"(10,453)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 736,372",Bandung
Amaroossa Hotel Bandung,4-star hotel,4.3,"(3,478)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 649,510",Bandung
PRIME PARK Hotel Bandung,4-star hotel,4.4,"(3,918)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 427,284",Bandung
Sheo Resort Hotel,4-star hotel,4.1,"(2,902)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 336,766",Bandung
