,0,1,2,3,4
0,favehotel Melawai,4.2,"(2,481)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 315,496"
1,Juno Tanah Abang Jakarta,4.4,"(2,544)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 409,636"
2,B Shaw Hotel,4.0,(414),"['Free Wi-Fi', 'Air conditioning']","IDR 168,750"
3,ibis Styles Jakarta Mangga Dua Square,4.5,"(2,017)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 448,252"
4,D HOTEL,4.2,"(2,248)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']",DEAL
5,1O1 URBAN Jakarta Thamrin,4.3,"(4,260)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 504,657"
6,Asyana Kemayoran Jakarta,4.3,"(2,672)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
7,Swiss-Belinn Simatupang,4.4,"(3,638)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 528,016"
8,All Seasons Jakarta Thamrin,4.4,"(4,107)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 564,648"
9,Classic Hotel,4.3,"(4,978)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Spa', 'Bar']","IDR 298,880"
10,ARTOTEL Thamrin - Jakarta,4.4,"(3,830)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 524,343"
11,ibis Jakarta Arcadia,4.2,"(1,611)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 455,841"
12,City Icon Residence,4.0,(660),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry']",DEAL
13,Heef Hotel,4.3,"(1,414)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 320,248"
14,Heef Hotel,4.3,"(1,414)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 320,248"
15,OYO Townhouse 1 Hotel Salemba,4.0,(879),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
16,Triniti Hotel Jakarta,4.2,"(1,178)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']",DEAL
