No,Nama,Rating,Jumlah Rating,Fasilitas,Harga
0,"Mandarin Oriental, Jakarta",4.7,"(6,739)","['Breakfast', 'Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,184,720"
1,"The Hermitage, a Tribute Portfolio Hotel, Jakarta",4.6,"(3,784)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,447,290"
2,Aryaduta Jakarta,4.5,"(10,399)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 557,471"
3,Hotel Indonesia Kempinski Jakarta,4.7,"(18,071)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,837,749"
4,"Goodrich Suites, ARTOTEL Portfolio",4.5,"(1,714)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 932,060"
5,Hotel Borobudur Jakarta,4.6,"(17,483)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']",GREAT DEAL
6,Manhattan Hotel Jakarta,4.3,"(6,183)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 748,004"
7,Pullman Jakarta Indonesia Thamrin CBD,4.7,"(12,765)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,957,679"
8,Pullman Jakarta Central Park,4.6,"(7,862)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 2,134,732"
9,Merlynn Park,4.4,"(9,071)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 636,576"
10,Wyndham Casablanca Jakarta,4.6,"(2,051)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 774,187"
11,Grand Sahid Jaya,4.4,"(10,240)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 845,119"
12,"The Langham, Jakarta",4.7,(789),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,366,000"
13,The Grove Suites,4.5,"(2,840)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 901,827"
14,"The Langham, Jakarta",4.7,(789),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,366,000"
15,The Grove Suites,4.5,"(2,840)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 901,827"
16,Grand Mercure Jakarta Kemayoran,4.6,"(11,800)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Pools', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,087,490"
17,Artotel Suites Mangkuluhur Jakarta,4.4,"(4,722)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,078,585"
18,Shangri-La Jakarta,4.7,"(20,560)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,659,145"
19,"InterContinental Jakarta Pondok Indah, an IHG Hotel",4.8,"(4,578)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,957,576"
20,Grand Mercure Jakarta Harmoni,4.5,"(7,818)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 1,008,021"
21,Hotel Mulia Senayan Jakarta,4.7,"(18,394)","['Free breakfast', 'Wi-Fi', 'Parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,622,675"
22,DoubleTree by Hilton Hotel Jakarta - Diponegoro,4.6,"(9,797)","['Breakfast ($)', 'Wi-Fi ($)', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,611,960"
23,The Sultan Hotel & Residence Jakarta,4.6,"(12,735)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 968,031"
24,The Orient Hotel Jakarta,4.8,(149),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,256,836"
25,Four Seasons Jakarta,4.7,"(7,454)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 3,379,530"
26,Grand Hyatt Jakarta,4.7,"(6,729)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 3,613,254"
27,"Kemang Icon, ARTOTEL Portfolio",4.3,(742),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 1,078,435"
28,Gran Meliá Jakarta,4.6,"(7,505)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,931,744"
29,"The Ritz-Carlton Jakarta, Mega Kuningan",4.7,"(10,069)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,333,550"
30,Ayana Midplaza Jakarta,4.7,"(8,540)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,099,374"
31,Hotel Raffles Jakarta,4.8,"(8,010)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,697,664"
32,The Westin Jakarta,4.7,"(12,884)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 4,083,144"
33,Sheraton Grand Jakarta Gandaria City Hotel,4.7,"(8,809)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 2,914,638"
34,Le Meridien Jakarta,4.6,"(10,357)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,215,080"
35,Hotel Gran Mahakam,4.6,"(4,439)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,010,273"
36,Ascott Kuningan Jakarta,4.7,"(1,987)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 2,125,877"
37,JW Marriott Hotel Jakarta,4.6,"(9,740)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 3,131,683"
38,Swissôtel Jakarta PIK Avenue,4.7,"(3,794)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,900,000"
39,Oakwood Premier Cozmo Jakarta,4.5,"(3,288)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,064,122"
40,Aryaduta Suites Semanggi,4.5,"(6,806)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 837,334"
41,"The Dharmawangsa, a Luxury Collection Hotel, Jakarta",4.6,"(4,438)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 2,199,218"
