No,Nama,Class,Rating,Rater,Facility,Price
0,DoubleTree by Hilton Hotel Jakarta - Diponegoro,5-star hotel,4.6,"(9,800)","['Breakfast ($)', 'Wi-Fi ($)', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 1,633,500"
1,favehotel Melawai,3-star hotel,4.2,"(2,482)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 315,858"
2,B Shaw Hotel,3-star hotel,4.0,(414),"['Free Wi-Fi', 'Air conditioning']","IDR 169,290"
3,Aryaduta Jakarta,5-star hotel,4.5,"(10,400)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 556,292"
4,Hotel Indonesia Kempinski Jakarta,5-star hotel,4.7,"(18,071)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 2,851,264"
5,Green Bamboo Residence,2-star hotel,4.2,"(1,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 184,768"
6,éL Hotel Royale Jakarta,4-star hotel,4.3,"(3,660)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 463,180"
7,Hotel Ciputra Jakarta,4-star hotel,4.6,"(12,511)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 589,888"
8,All Seasons Jakarta Thamrin,3-star hotel,4.4,"(4,111)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar', 'Restaurant']","IDR 627,026"
9,1O1 URBAN Jakarta Thamrin,3-star hotel,4.3,"(4,260)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 507,000"
10,The Jayakarta SP Jakarta Hotel & Spa,4-star hotel,4.2,"(3,685)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 302,385"
11,"Goodrich Suites, ARTOTEL Portfolio",5-star hotel,4.5,"(1,714)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 929,542"
12,ibis Jakarta Arcadia,3-star hotel,4.2,"(1,611)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 456,363"
13,ARTOTEL Thamrin - Jakarta,3-star hotel,4.4,"(3,832)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 541,659"
14,"Goodrich Suites, ARTOTEL Portfolio",5-star hotel,4.5,"(1,714)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Bar']","IDR 929,542"
15,ibis Jakarta Arcadia,3-star hotel,4.2,"(1,611)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 456,363"
16,ARTOTEL Thamrin - Jakarta,3-star hotel,4.4,"(3,832)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Bar', 'Restaurant', 'Room service']","IDR 541,659"
17,Hotel Santika Premiere Slipi Jakarta,4-star hotel,4.5,"(7,743)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 649,950"
18,Wyndham Casablanca Jakarta,5-star hotel,4.6,"(2,051)","['Breakfast ($)', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']",GREAT DEAL
19,Hotel Borobudur Jakarta,5-star hotel,4.6,"(17,486)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']",GREAT DEAL
20,Mercure Jakarta Gatot Subroto,4-star hotel,4.5,"(3,277)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 781,642"
21,OYO Townhouse 1 Hotel Salemba,3-star hotel,4.0,(879),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']",DEAL
22,Manhattan Hotel Jakarta,5-star hotel,4.3,"(6,185)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Hot tub', 'Air conditioning', 'Fitness centre', 'Spa']","IDR 745,984"
23,Royal Kuningan Hotel,4-star hotel,4.4,"(5,774)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 571,558"
24,Heef Hotel,3-star hotel,4.3,"(1,414)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 316,306"
25,Pullman Jakarta Central Park,5-star hotel,4.6,"(7,862)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 2,143,243"
26,Swiss-Belinn Wahid Hasyim,3-star hotel,4.5,(535),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 513,926"
