Name,Class,Rating,Total Rater,Facility,Price,Area
MK HOUSE TENDEAN,2-star hotel,4.4,(548),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 113,133",Jakarta
RedDoorz @ Cempaka Putih,2-star hotel,4.4,(169),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 154,526",Jakarta
Green Bamboo Residence,2-star hotel,4.2,"(1,630)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 159,722",Jakarta
RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"['Free Wi-Fi', 'Outdoor pool']","IDR 184,569",Jakarta
Zest Airport Jakarta by Swiss-Belhotel International,2-star hotel,4.2,"(4,237)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 369,566",Jakarta
ibis budget Jakarta Airport,2-star hotel,4.2,"(9,528)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Bar', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 363,825",Jakarta
OYO 266 Margonda Residence 5,2-star hotel,4.1,(191),"['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 128,288",Jakarta
An Hotel Jakarta,2-star hotel,3.8,(711),"['Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 260,539",Jakarta
Amaris Hotel Thamrin City,2-star hotel,4.2,"(4,189)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 295,849",Jakarta
Clay Hotel,2-star hotel,4,"(1,547)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 237,600",Jakarta
POP! Hotel Tebet,2-star hotel,4.1,"(2,835)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 303,546",Jakarta
Amaris Hotel Slipi Jakarta,2-star hotel,4.5,(406),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 367,000",Jakarta
OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"['Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning']","IDR 104,745",Jakarta
Daun Residence,2-star hotel,4.5,(205),"['Free Wi-Fi', 'Parking', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 337,575",Jakarta
favehotel Kelapa Gading,2-star hotel,4,"(2,689)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 234,626",Jakarta
LeGreen Suite Tondano,2-star hotel,4,(677),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry']","IDR 276,420",Jakarta
ibis budget Jakarta Cikini,2-star hotel,4.2,"(3,552)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 327,915",Jakarta
Amaris Hotel Tendean Jakarta,2-star hotel,4.1,"(1,760)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 299,710",Jakarta
POP! Hotel Airport Jakarta,2-star hotel,3.8,"(3,252)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 284,582",Jakarta
Whiz Hotel Falatehan Jakarta,2-star hotel,4.1,(676),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 437,774",Jakarta
Dafam Express Jaksa Jakarta,2-star hotel,4.4,(413),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 282,838",Jakarta
Hotel 55,2-star hotel,3.8,(780),"['Breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 142,122",Jakarta
POP! Hotel Kemang - Jakarta,2-star hotel,4.2,"(1,963)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 264,957",Jakarta
Amaris Hotel Seasons City,2-star hotel,4.2,"(1,954)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 236,497",Jakarta
Cordela Hotel Senen,2-star hotel,4.5,"(2,413)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 387,611",Jakarta
