,Name,Class,Rating,Total Rater,Price,Area,AirConditioner,Bar,Pool,Spa,FitenessCenter,Restaurant,HotTub
0,MK HOUSE TENDEAN,2-star hotel,4.4,(548),"IDR 113,133",Jakarta,True,False,False,False,False,False,False
1,RedDoorz @ Cempaka Putih,2-star hotel,4.4,(169),"IDR 154,526",Jakarta,True,False,False,False,False,False,False
2,Green Bamboo Residence,2-star hotel,4.2,"(1,630)","IDR 159,722",Jakarta,True,False,False,False,False,True,False
3,RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"IDR 184,569",Jakarta,False,False,True,False,False,False,False
4,Zest Airport Jakarta by Swiss-Belhotel International,2-star hotel,4.2,"(4,237)","IDR 369,566",Jakarta,True,False,False,False,False,True,False
5,ibis budget Jakarta Airport,2-star hotel,4.2,"(9,528)","IDR 363,825",Jakarta,True,True,False,False,False,True,False
6,OYO 266 Margonda Residence 5,2-star hotel,4.1,(191),"IDR 128,288",Jakarta,True,False,True,False,False,False,False
7,An Hotel Jakarta,2-star hotel,3.8,(711),"IDR 260,539",Jakarta,True,False,False,False,False,True,False
8,Amaris Hotel Thamrin City,2-star hotel,4.2,"(4,189)","IDR 295,849",Jakarta,True,False,False,False,False,True,False
9,Clay Hotel,2-star hotel,4,"(1,547)","IDR 237,600",Jakarta,True,False,False,False,False,True,False
10,POP! Hotel Tebet,2-star hotel,4.1,"(2,835)","IDR 303,546",Jakarta,True,False,False,False,False,True,False
11,Amaris Hotel Slipi Jakarta,2-star hotel,4.5,(406),"IDR 367,000",Jakarta,True,False,False,False,False,True,False
12,OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"IDR 104,745",Jakarta,True,False,False,False,False,False,False
13,Daun Residence,2-star hotel,4.5,(205),"IDR 337,575",Jakarta,False,False,False,False,False,False,False
14,favehotel Kelapa Gading,2-star hotel,4,"(2,689)","IDR 234,626",Jakarta,True,False,False,False,False,True,False
15,LeGreen Suite Tondano,2-star hotel,4,(677),"IDR 276,420",Jakarta,True,False,False,False,False,False,False
16,ibis budget Jakarta Cikini,2-star hotel,4.2,"(3,552)","IDR 327,915",Jakarta,True,False,False,False,False,True,False
17,Amaris Hotel Tendean Jakarta,2-star hotel,4.1,"(1,760)","IDR 299,710",Jakarta,True,False,False,False,False,True,False
18,POP! Hotel Airport Jakarta,2-star hotel,3.8,"(3,252)","IDR 284,582",Jakarta,True,False,False,False,False,True,False
19,Whiz Hotel Falatehan Jakarta,2-star hotel,4.1,(676),"IDR 437,774",Jakarta,True,False,False,False,False,True,False
20,Dafam Express Jaksa Jakarta,2-star hotel,4.4,(413),"IDR 282,838",Jakarta,True,False,False,False,False,True,False
21,Hotel 55,2-star hotel,3.8,(780),"IDR 142,122",Jakarta,True,False,False,False,False,True,False
22,POP! Hotel Kemang - Jakarta,2-star hotel,4.2,"(1,963)","IDR 264,957",Jakarta,True,False,False,False,False,True,False
23,Amaris Hotel Seasons City,2-star hotel,4.2,"(1,954)","IDR 236,497",Jakarta,True,False,False,False,False,True,False
24,Cordela Hotel Senen,2-star hotel,4.5,"(2,413)","IDR 387,611",Jakarta,True,False,False,False,False,True,False
25,OYO 1941 Aaa Residence Syariah,2-star hotel,4.3,(244),"IDR 105,419",Jakarta,True,False,False,False,False,False,False
26,Alia Matraman Hotel,2-star hotel,4.2,(821),"IDR 324,294",Jakarta,True,False,False,False,False,True,False
27,Hotel 88 Mangga Besar 120.,2-star hotel,4.2,(890),"IDR 204,086",Jakarta,True,False,False,False,False,True,False
29,Amaris Hotel Juanda Jakarta,2-star hotel,4.2,"(2,120)","IDR 361,075",Jakarta,True,False,False,False,False,True,False
