,Name,Rating,Total Rater,Area,AirConditioner,Bar,Pool,Spa,FitenessCenter,Restaurant,HotTub,Price_IDR,hotelClass
0,MK HOUSE TENDEAN,4.4,(548),Jakarta,True,False,False,False,False,False,False,113133,2
1,RedDoorz @ Cempaka Putih,4.4,(169),Jakarta,True,False,False,False,False,False,False,154526,2
2,Green Bamboo Residence,4.2,"(1,630)",Jakarta,True,False,False,False,False,True,False,159722,2
3,RedDoorz Premium @ Cilandak Timur 2,4.5,(243),Jakarta,False,False,True,False,False,False,False,184569,2
4,Zest Airport Jakarta by Swiss-Belhotel International,4.2,"(4,237)",Jakarta,True,False,False,False,False,True,False,369566,2
5,ibis budget Jakarta Airport,4.2,"(9,528)",Jakarta,True,True,False,False,False,True,False,363825,2
6,OYO 266 Margonda Residence 5,4.1,(191),Jakarta,True,False,True,False,False,False,False,128288,2
7,An Hotel Jakarta,3.8,(711),Jakarta,True,False,False,False,False,True,False,260539,2
8,Amaris Hotel Thamrin City,4.2,"(4,189)",Jakarta,True,False,False,False,False,True,False,295849,2
9,Clay Hotel,4,"(1,547)",Jakarta,True,False,False,False,False,True,False,237600,2
10,POP! Hotel Tebet,4.1,"(2,835)",Jakarta,True,False,False,False,False,True,False,303546,2
11,Amaris Hotel Slipi Jakarta,4.5,(406),Jakarta,True,False,False,False,False,True,False,367000,2
12,OYO 3194 Margonda Executive,3.6,(179),Jakarta,True,False,False,False,False,False,False,104745,2
13,Daun Residence,4.5,(205),Jakarta,False,False,False,False,False,False,False,337575,2
14,favehotel Kelapa Gading,4,"(2,689)",Jakarta,True,False,False,False,False,True,False,234626,2
15,LeGreen Suite Tondano,4,(677),Jakarta,True,False,False,False,False,False,False,276420,2
16,ibis budget Jakarta Cikini,4.2,"(3,552)",Jakarta,True,False,False,False,False,True,False,327915,2
17,Amaris Hotel Tendean Jakarta,4.1,"(1,760)",Jakarta,True,False,False,False,False,True,False,299710,2
18,POP! Hotel Airport Jakarta,3.8,"(3,252)",Jakarta,True,False,False,False,False,True,False,284582,2
19,Whiz Hotel Falatehan Jakarta,4.1,(676),Jakarta,True,False,False,False,False,True,False,437774,2
20,Dafam Express Jaksa Jakarta,4.4,(413),Jakarta,True,False,False,False,False,True,False,282838,2
21,Hotel 55,3.8,(780),Jakarta,True,False,False,False,False,True,False,142122,2
22,POP! Hotel Kemang - Jakarta,4.2,"(1,963)",Jakarta,True,False,False,False,False,True,False,264957,2
23,Amaris Hotel Seasons City,4.2,"(1,954)",Jakarta,True,False,False,False,False,True,False,236497,2
24,Cordela Hotel Senen,4.5,"(2,413)",Jakarta,True,False,False,False,False,True,False,387611,2
25,OYO 1941 Aaa Residence Syariah,4.3,(244),Jakarta,True,False,False,False,False,False,False,105419,2
26,Alia Matraman Hotel,4.2,(821),Jakarta,True,False,False,False,False,True,False,324294,2
27,Hotel 88 Mangga Besar 120.,4.2,(890),Jakarta,True,False,False,False,False,True,False,204086,2
29,Amaris Hotel Juanda Jakarta,4.2,"(2,120)",Jakarta,True,False,False,False,False,True,False,361075,2
30,Casa Living,4.2,(398),Jakarta,True,False,False,False,False,False,False,246456,2
31,Amaris Grogol,4.3,"(1,415)",Jakarta,True,False,False,False,False,True,False,297266,2
32,LeGreen Suite Senayan,3.9,(507),Jakarta,True,False,False,False,False,False,False,257620,2
33,Amaris Hotel Senen,4.1,"(1,418)",Jakarta,True,False,False,False,False,True,False,294532,2
34,d'primahotel ITC Mangga Dua,4.3,"(1,307)",Jakarta,True,False,False,False,False,True,False,192294,2
35,ibis budget Jakarta Menteng,4,"(1,581)",Jakarta,True,False,False,False,False,True,False,306185,2
36,Hotel Senen Indah,4.2,"(1,272)",Jakarta,True,False,False,False,False,True,False,173790,2
37,Hotel Alma,4,(787),Jakarta,True,False,False,False,False,False,False,142139,2
38,SUMI Hotel,4.1,(595),Jakarta,True,False,False,False,False,False,False,194645,2
39,Amaris Hotel Tebet,4.1,"(1,952)",Jakarta,True,False,False,False,False,True,False,364320,2
40,OYO Flagship 210 Amethyst Kemayoran,4.3,"(1,595)",Jakarta,True,False,False,False,False,False,False,161341,2
41,Hotel 88 Mangga Besar VIII,4.1,"(1,556)",Jakarta,True,False,False,False,False,True,False,234977,2
42,Amaris Hotel Pasar Baru,4.3,"(1,508)",Jakarta,True,False,False,False,False,True,False,343995,2
43,Cipta Hotel Wahid Hasyim,4.1,(695),Jakarta,True,False,False,False,False,True,False,285511,2
44,Sotis Residence Pejompongan,4.3,"(1,305)",Jakarta,True,False,False,False,False,True,False,387600,2
45,Hotel Gren Alia Cikini,4.3,"(2,794)",Jakarta,True,False,False,False,False,True,False,440151,2
46,LeGreen Suite Kuningan,4.1,(629),Jakarta,True,False,False,False,False,False,False,272317,2
47,Cengkareng Transit Hotel,4,"(1,096)",Jakarta,True,False,False,False,False,True,False,312306,2
48,Shakti,4.3,"(1,182)",Jakarta,True,False,False,False,False,True,False,255000,2
49,Amaris Hotel Pancoran,4.3,"(1,751)",Jakarta,True,False,False,False,False,True,False,406611,2
50,Shakti,4.3,"(1,182)",Jakarta,True,False,False,False,False,True,False,255000,2
51,Hotel Maxim,3.7,(580),Jakarta,True,False,False,False,False,True,False,135500,2
52,Grandboutique-Inn,4,(89),Jakarta,True,False,False,False,False,False,False,299213,2
53,Amaris Hotel Pancoran,4.3,"(1,751)",Jakarta,True,False,False,False,False,True,False,406611,2
54,Jambrut Inn Hotel,4.1,(202),Jakarta,True,False,False,False,False,False,False,169263,2
55,BI Executive Hotel,4.5,"(1,472)",Jakarta,True,False,False,False,False,True,False,402900,2
56,d'primahotel WTC Mangga Dua,4.3,(674),Jakarta,True,False,False,False,False,True,False,216173,2
57,U Stay Hotel Asem Baris Jakarta,4.4,(633),Jakarta,True,False,False,False,False,True,False,364650,2
58,V Hotel Tebet,4.3,"(1,874)",Jakarta,True,False,False,False,False,True,False,339151,2
59,OYO 148 Cempaka Place Homestay,4,(651),Jakarta,True,False,False,False,False,False,False,132253,2
60,Sun Rise House,4.3,(295),Jakarta,True,False,True,False,False,False,False,187246,2
61,Urbanview Hotel Bes Mangga Besar,3.9,(278),Jakarta,True,False,False,False,False,True,False,178080,2
62,LeGreen Suite Supomo,4.3,(322),Jakarta,True,False,False,False,False,False,False,211939,2
63,RedDoorz near Hayam Wuruk,3.2,(745),Jakarta,True,False,False,False,False,False,False,94941,2
64,Rota Hotel,3.8,(311),Jakarta,True,False,False,False,False,True,False,306156,2
66,RedDoorz Plus @ Cideng Barat,4.3,(662),Jakarta,False,False,False,False,False,False,False,163875,2
67,Cikini Hotel,4.3,"(1,084)",Jakarta,True,False,False,False,False,False,False,257322,2
68,Hotel Dragon Inn,4.1,(861),Jakarta,True,False,False,False,False,True,False,357000,2
69,RedDoorz Plus @ Guntur Raya Setiabudi,4.2,(550),Jakarta,False,False,False,False,False,True,False,276137,2
70,C'One Hotel Pulomas,4.2,(502),Jakarta,True,False,False,False,False,True,False,238908,2
71,OYO 1421 Kasmaran Guest House Syariah,4.2,(230),Jakarta,True,False,True,False,False,False,False,187738,2
72,OYO 137 Permata Tawakal,4,(332),Jakarta,False,False,False,False,False,False,False,103592,2
73,Amaris Hotel Bandara Soekarno Hatta,3.9,"(2,478)",Jakarta,True,False,False,False,False,True,False,382750,2
74,RedDoorz near ITC Cempaka Mas,3.2,(521),Jakarta,False,False,False,False,False,False,False,122611,2
75,RedDoorz Plus @ Guntur Raya Setiabudi,4.2,(550),Jakarta,False,False,False,False,False,True,False,276137,2
76,OYO 146 Menteng Residence,3.4,(184),Jakarta,True,False,False,False,False,False,False,96622,2
77,OYO 137 Permata Tawakal,4,(332),Jakarta,False,False,False,False,False,False,False,103592,2
78,OYO 123 Puri Lotus,3.8,(317),Jakarta,True,False,False,False,False,False,False,179486,2
79,Golden Mansion,4.1,(215),Jakarta,True,False,False,False,False,False,False,390469,2
80,LeGreen Suite Tebet,4.1,(480),Jakarta,True,False,False,False,False,False,False,330137,2
81,Collection O 91071 Hotel Desa Wisata Tmii,4.2,(927),Jakarta,True,False,False,False,False,True,False,565229,2
82,RedDoorz @ Jalan Gatot Subroto Jakarta,4.4,(162),Jakarta,False,False,False,False,False,False,False,223447,2
83,OYO 3755 Sweet Home,3.4,(58),Jakarta,True,False,False,False,False,False,False,62712,2
84,OYO 2416 Griya Otista Syariah,3.8,(160),Jakarta,True,False,False,False,False,False,False,91444,2
86,OYO 2223 J&b Room Utan Kayu,3.6,(213),Jakarta,True,False,False,False,False,False,False,111588,2
87,RedDoorz near Gajah Mada Plaza 2,3.7,(185),Jakarta,False,False,False,False,False,False,False,89818,2
88,RedDoorz near Halim Perdanakusuma 3,4.1,(159),Jakarta,True,False,False,False,False,False,False,206625,2
89,OYO 127 W Residence,4,(572),Jakarta,True,False,False,False,False,False,False,120668,2
91,Puspita Guesthouse,3.3,(74),Jakarta,True,False,False,False,False,False,False,202465,2
92,RedDoorz near Kebon Jeruk Jakarta,4.4,(240),Jakarta,True,False,False,False,False,False,False,152568,2
93,RedDoorz Plus near Tebet,4.5,(258),Jakarta,True,False,False,False,False,False,False,470080,2
94,OYO 181 Wisma Bintang,3.9,(484),Jakarta,True,False,False,False,False,False,False,89425,2
95,OYO 2308 Seven Season Residence,3.8,(242),Jakarta,True,False,False,False,False,False,False,113750,2
97,OYO 1868 J&b Room Pramuka,3.6,(155),Jakarta,True,False,False,False,False,False,False,104933,2
100,OYO 1487 Residence Khoe,4.3,(242),Jakarta,True,False,False,False,False,False,False,144575,2
101,RedDoorz @ Kebon Kacang,3.9,(124),Jakarta,True,False,False,False,False,False,False,153188,2
102,OYO 3747 Comfort Residence,4.1,(71),Jakarta,True,False,False,False,False,False,False,147145,2
103,RedDoorz Tanah Abang,3.9,(25),Jakarta,True,False,False,False,False,False,False,107259,2
112,RedDoorz Premium @ Cilandak Timur 2,4.5,(243),Jakarta,False,False,True,False,False,False,False,184569,2
113,OYO 3194 Margonda Executive,3.6,(179),Jakarta,True,False,False,False,False,False,False,104745,2
114,Daun Residence,4.5,(205),Jakarta,False,False,False,False,False,False,False,337575,2
115,Smart Hotel Thamrin Jakarta,3.3,"(1,045)",Jakarta,True,False,False,False,False,True,False,208496,2
116,Gayatri Residence,4.3,(44),Jakarta,False,False,False,False,False,False,False,124284,2
117,AMS Penthouse Hotel,4,(485),Jakarta,True,False,False,False,False,False,False,107638,2
118,The Packer Lodge,4.5,(455),Jakarta,True,False,False,False,False,True,False,196029,2
119,Bold Hotel,4.5,(828),Jakarta,True,False,False,False,False,False,False,171493,2
120,Bobobox Pancoran,4.6,(712),Jakarta,True,False,False,False,False,False,False,207028,2
121,Hotel Istana Bungur,3.7,(431),Jakarta,True,False,False,False,False,True,False,127322,2
122,Bangka Suite,4.6,(260),Jakarta,True,False,True,False,False,False,False,238191,2
123,Urbanview Hotel Minongga Pondok Labu,4.1,(462),Jakarta,False,False,False,False,False,False,False,167438,2
124,Nite & Day Hotel Mangga Besar,4.1,(625),Jakarta,True,False,False,False,False,False,False,270000,2
125,MK HOUSE TENDEAN,4.4,(548),Jakarta,True,False,False,False,False,False,False,113133,2
126,Urbanview Hotel Mroom PH,3.9,(622),Jakarta,True,False,False,False,False,True,False,166725,2
127,MUTIARA SUITES | Jakarta,4.3,(366),Jakarta,True,False,True,False,False,True,False,277633,2
128,Amaris Hotel Panglima Polim,4.2,(901),Jakarta,True,False,False,False,False,True,False,247455,2
129,Capsule Hotel New Batavia,4.5,(490),Jakarta,True,True,False,False,False,True,False,208248,2
130,Augusta Hotel,3.8,(521),Jakarta,False,False,False,False,False,True,False,214813,2
131,City Style Residence,4.1,(211),Jakarta,False,False,False,False,False,False,False,113466,2
132,Oekude Residence,4.2,(336),Jakarta,True,False,False,False,False,False,False,95771,2
133,Lagura Residence Guest House,4.1,(447),Jakarta,False,False,False,False,False,False,False,161924,2
134,ZEN Rooms De 80's Ekonomi,4,(207),Jakarta,True,False,False,False,False,False,False,102586,2
135,Bangka Bed and Breakfast,4.3,(48),Jakarta,True,False,False,False,False,False,False,174031,2
136,OYO 115 Portal Residence,3.9,(55),Jakarta,False,False,False,False,False,False,False,140885,2
137,OYO 141 Fatmawati Cozy Residence,3.9,(194),Jakarta,True,False,False,False,False,False,False,178852,2
138,RedDoorz near Central Park Mall,4.4,(191),Jakarta,False,False,False,False,False,False,False,103970,2
139,The Plaza Hotel Glodok,4.1,(532),Jakarta,True,False,False,False,False,True,False,188979,2
140,UniK Guest House,4.3,(24),Jakarta,True,False,False,False,False,False,False,160000,2
141,N3 Hotel Zainul Arifin,3.9,(380),Jakarta,True,False,False,False,False,False,False,152456,2
142,Residence 100,3.8,(345),Jakarta,True,False,False,False,False,True,False,170375,2
143,Icorner Residence,4.2,(344),Jakarta,True,False,False,False,False,False,False,191474,2
144,OYO 1805 Fatmawati Mansion Syariah,4.1,(113),Jakarta,False,False,False,False,False,False,False,109724,2
145,Central Front One Inn Jakarta Airport,4.3,(348),Jakarta,True,False,False,False,False,True,False,252756,2
146,Hotel Lautze Indah,3.7,(658),Jakarta,True,False,False,False,False,True,False,215024,2
147,Villa Srimanganti,4.3,(959),Jakarta,True,False,True,False,False,False,False,155530,2
148,Focus Hotel,4.1,(433),Jakarta,True,False,False,False,False,False,False,305415,2
149,U Stay Hotel Gunung Sahari Jakarta,3.7,(616),Jakarta,True,False,False,False,False,False,False,137210,2
150,Wonderloft Hostel,4.5,(774),Jakarta,True,False,False,False,False,False,False,155875,2
151,Magnolia Hotel,3.9,(295),Jakarta,True,False,False,False,False,False,False,327509,2
152,Uptown residence Pondok Pinang Jakarta Selatan,3.7,(158),Jakarta,False,False,False,False,False,False,False,99211,2
153,Hotel 678 Kemang,4.1,(298),Jakarta,True,False,False,False,False,True,True,350001,2
154,OYO 1805 Fatmawati Mansion Syariah,4.1,(113),Jakarta,False,False,False,False,False,False,False,109724,2
155,OYO 2348 Ende Elok,3.8,(332),Jakarta,True,False,False,False,False,False,False,201287,2
156,Cilandak Mansion Hotel,4.6,(18),Jakarta,False,False,False,False,False,False,False,217539,2
157,RedDoorz near Mangga Dua Square,3.4,(64),Jakarta,False,False,False,False,False,False,False,94171,2
158,Hotel Cempaka Sari,3.9,(595),Jakarta,True,False,False,False,False,True,False,149999,2
159,Twins Manggadua,4.1,(323),Jakarta,True,False,False,False,False,True,False,257807,2
160,LeGreen Suite Poso,4,(359),Jakarta,True,False,False,False,False,False,False,272317,2
161,Puri Saras Bintaro Syariah,4,(350),Jakarta,True,False,False,False,False,False,False,121125,2
162,de 80's genteng ijo,4.3,(277),Jakarta,True,True,False,False,False,True,False,168284,2
163,VK Pods Jakarta @PIK,4.4,(111),Jakarta,True,False,False,False,False,False,False,157420,2
164,Green Apple Residence RedPartner,4.1,(164),Jakarta,True,False,False,False,False,False,False,135555,2
165,Hotel Mustika Senen,3.9,(463),Jakarta,True,False,False,False,False,True,False,239002,2
166,N1 Hotel Tanah Abang,3.8,(873),Jakarta,True,False,False,False,False,True,False,145350,2
167,LeGreen Suite Penjernihan,4.2,(453),Jakarta,True,False,False,False,False,False,False,276420,2
168,RedDoorz @ Pangeran Antasari 2,3.8,(342),Jakarta,False,False,False,False,False,False,False,105397,2
169,Mendjangan Kuningan Residence,4.3,(85),Jakarta,False,False,False,False,False,False,False,317189,2
170,Plaza 68,4.3,(420),Jakarta,False,False,False,False,False,False,False,214319,2
172,G7 Hotel New Market,4.3,(546),Jakarta,True,False,False,False,False,True,False,263909,2
173,K-Style Eco Hotel Jakarta,4,(214),Jakarta,True,False,False,False,False,False,False,131281,2
174,OYO 297 45 Residence,4.1,(337),Jakarta,True,False,False,False,False,False,False,94970,2
175,SPOT ON 3155 Penginapan Banyu Biru Syariah,3.6,(220),Jakarta,True,False,False,False,False,False,False,64356,2
176,City Biz Residence,3.9,(209),Jakarta,True,False,False,False,False,False,False,131634,2
177,MK House SCBD,4.3,(514),Jakarta,True,False,False,False,False,False,False,195842,2
178,New Priok Indah Syariah Hotel,4.3,(235),Jakarta,True,False,False,False,False,False,False,137157,2
179,Kanto's Guest House,4.3,(296),Jakarta,True,False,False,False,False,False,False,159310,2
180,Tujutiga Suites,4.5,(91),Jakarta,True,False,False,False,False,False,False,375000,2
