Name,Class,Rating,Total Rater,Facility,Price,Area
Zest Hotel Yogyakarta,2-star hotel,4.2,"(3,053)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 338,602",Jogjakarta
Grand Marto Hotel,2-star hotel,4.3,(264),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 248,671",Jogjakarta
Nueve Malioboro Hotel Yogyakarta,2-star hotel,4.3,"(1,818)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 241,976",Jogjakarta
Top Malioboro Hotel Jogja,2-star hotel,4.1,"(2,124)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 320,411",Jogjakarta
POP! Hotel Sangaji,2-star hotel,4.2,"(5,349)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 259,527",Jogjakarta
Zest Hotel Yogyakarta,2-star hotel,4.2,"(3,053)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 310,823",Jogjakarta
favehotel Kusumanegara,2-star hotel,4.4,"(6,324)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 560,409",Jogjakarta
The Patio Yogya,2-star hotel,4.6,(155),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Parking', 'Bar', 'Airport shuttle', 'Child-friendly']","IDR 240,000",Jogjakarta
POP! Hotel Malioboro - Yogyakarta,2-star hotel,4.1,"(3,496)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 391,459",Jogjakarta
Whiz Hotel Malioboro Yogyakarta,2-star hotel,4.1,"(3,515)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 498,477",Jogjakarta
Sagan Huis Hotel,2-star hotel,4.3,(371),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Full-service laundry', 'Child-friendly']","IDR 242,250",Jogjakarta
Hotel Musafira,2-star hotel,4.3,(948),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 98,893",Jogjakarta
D'Kayon Hotel,2-star hotel,4.3,"(1,179)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 281,979",Jogjakarta
Amaris Hotel Malioboro Jogja,2-star hotel,4.3,"(4,185)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 571,908",Jogjakarta
Sagan Heritage Hotel,2-star hotel,4.3,"(1,765)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Restaurant', 'Room service']","IDR 935,000",Jogjakarta
Woodpecker Pavilion,2-star hotel,3.8,(490),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 322,193",Jogjakarta
Malioboro Garden Hotel,2-star hotel,4.2,"(1,863)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 216,054",Jogjakarta
Aveon Express by Daphna International,2-star hotel,4.3,"(1,086)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 273,749",Jogjakarta
Rene Hotel,2-star hotel,4.1,(565),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 256,535",Jogjakarta
Matahari Hotel,2-star hotel,4,"(2,518)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 298,606",Jogjakarta
Batik Cottage Hotel Yogyakarta,2-star hotel,4.3,"(1,051)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 345,969",Jogjakarta
OYO 296 Wijaya Imperial Hotel,2-star hotel,3.9,(391),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 144,202",Jogjakarta
Tirta Sanita Hotel & Convention,2-star hotel,3.9,(308),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Child-friendly']","IDR 196,223",Jogjakarta
OYO 206 Hotel Candra Kirana,2-star hotel,4.2,(249),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 168,860",Jogjakarta
Grage Bussines Hotel Yogyakarta,2-star hotel,4.3,"(2,481)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 518,953",Jogjakarta
Sans Hotel Ekkon Yogyakarta,2-star hotel,4.1,(678),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 333,946",Jogjakarta
Puri Pangeran Hotel,2-star hotel,4.4,"(1,157)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Spa', 'Restaurant', 'Room service']","IDR 276,735",Jogjakarta
Griya Sentana Hotel,2-star hotel,4.5,(590),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 421,827",Jogjakarta
Liberta Malioboro,2-star hotel,4.6,(239),"['Breakfast', 'Free Wi-Fi', 'Parking ($)', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']",0,Jogjakarta
Malioboro Inn Hotel,2-star hotel,4.2,"(1,276)","['Free breakfast', 'Free Wi-Fi', 'Parking', 'Indoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 375,232",Jogjakarta
SPOT ON 2419 Rumah Nugraha Hotel Syariah,2-star hotel,2.5,(122),['Air conditioning'],"IDR 54,401",Jogjakarta
Summer Quest Hotel,2-star hotel,4.1,(745),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Pool', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry']",0,Jogjakarta
Rosalia Indah Hotel,2-star hotel,4.1,(689),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 334,093",Jogjakarta
OYO 2669 Crown Residence,2-star hotel,3.7,(125),['Air conditioning'],"IDR 91,123",Jogjakarta
OYO 3935 Artha Ambarukmo Exclusive,2-star hotel,4,(46),"['Free Wi-Fi', 'Air conditioning']","IDR 237,647",Jogjakarta
Joglo Manggisan penginapan syariah,2-star hotel,4.7,(353),"['Free Wi-Fi', 'Free parking', 'Pool']",0,Jogjakarta
ZEN Rooms Malioboro Sosrowijayan Wetan,2-star hotel,4.3,(6),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0,Jogjakarta
Sekar Ayu Hotel Malioboro RedPartner,2-star hotel,4.2,(357),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 168,933",Jogjakarta
RedDoorz Plus near Stadion Mandala Krida,2-star hotel,4,(438),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 99,528",Jogjakarta
