Name,Class,Rating,Total Rater,Facility,Price,Area
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
POP! Hotel Gubeng,2-star hotel,4.2,"(4,230)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 254,339",Surabaya
Bella Hotel Surabaya,2-star hotel,4,"(1,181)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 217,299",Surabaya
ibis budget Surabaya Diponegoro,2-star hotel,4.4,"(1,872)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 261,989",Surabaya
favehotel MEX Tunjungan Surabaya,2-star hotel,4.2,"(5,578)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 229,290",Surabaya
Emerald Hotel Surabaya,2-star hotel,4.2,(797),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 218,674",Surabaya
Collection O 11 Life Style Surabaya,2-star hotel,4.3,"(1,459)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Restaurant', 'Room service']","IDR 352,389",Surabaya
Zest Hotel,2-star hotel,4.3,"(3,158)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 230,621",Surabaya
News Hotel Surabaya,2-star hotel,4.2,"(1,714)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 220,906",Surabaya
Amaris Hotel Margorejo Surabaya,2-star hotel,4.4,"(2,752)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 234,323",Surabaya
POP! Hotel Stasiun Kota - Surabaya,2-star hotel,4.3,"(2,494)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible']","IDR 239,360",Surabaya
Hotel 88,2-star hotel,4.3,"(2,601)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 360,000",Surabaya
POP! Hotel Diponegoro - Surabaya,2-star hotel,4.4,"(4,656)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 233,795",Surabaya
Capsule Homestay,2-star hotel,3.9,(631),"['Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Kitchen in rooms']","IDR 104,545",Surabaya
OYO 469 Bumi Banyu Bening Syariah,2-star hotel,4.3,(201),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 150,339",Surabaya
POP! Hotel Diponegoro - Surabaya,2-star hotel,4.4,"(4,656)","['Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry']","IDR 233,795",Surabaya
Hersya Front One Boutique Hotel Surabaya,2-star hotel,4.4,"(1,142)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 236,947",Surabaya
Hotel Sahid Surabaya,2-star hotel,4.1,"(4,247)","['Breakfast', 'Free Wi-Fi', 'Parking', 'Pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 365,000",Surabaya
Hotel 88 Embong Kenongo,2-star hotel,4.3,"(1,954)","['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Accessible', 'Child-friendly']","IDR 277,328",Surabaya
