,0
0,356445
1,199442
2,244109
3,322292
4,208315
5,323186
6,329387
7,263620
8,397472
9,430844
10,281471
11,205380
12,249999
13,240000
14,133192
15,349440
16,199442
17,276165
18,269317
19,299000
20,410156
21,256535
22,286939
23,306612
24,398050
25,220762
26,218025
27,267581
28,153372
29,375232
30,153284
31,361963
32,97058
33,70571
34,92302
35,137846
36,334093
37,179892
38,106981
39,163522
40,186293
41,160640
42,215118
43,93274
44,117477
45,81136
46,192920
47,205380
48,81531
49,111662
50,600000
51,97704
52,138832
53,289350
54,230138
55,510948
56,246932
57,219628
58,355372
59,162788
60,403558
61,437000
62,452880
63,237008
64,289350
65,158566
66,270576
67,200280
68,215902
69,212016
70,150000
71,156805
72,300000
73,123208
74,144769
75,120000
76,360000
77,139999
78,101399
79,196875
80,332500
81,171000
82,86659
83,176700
84,123814
85,193003
86,94886
87,250000
88,94999
89,353544
90,176866
91,168052
92,117317
93,220501
94,175037
95,272981
